Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GCG,1,151.77,65.61,8,85.58,95.17
embraer_3153,GCG,2,18.95,64.45,7,85.46,96.80
embraer_3153,GCG,3,0.19,12.50,2,14.45,15.66
embraer_3153,GRASP,1,1141.10,75.73,11,94.63,97.72
embraer_3153,GRASP,2,149.23,60.62,5,86.08,92.72
embraer_3153,GRASP,3,0.01,6.26,1,6.26,7.21
embraer_3153,GRASP_GCG,1,936.36,74.29,8,92.93,98.78
embraer_3153,GRASP_GCG,2,122.49,68.44,9,87.84,90.55
embraer_3153,Random Key,1,1781.54,76.58,10,95.60,98.17
embraer_3153,Random Key,2,6.71,66.00,7,89.40,94.37
embraer_3086,GCG,1,185.58,71.03,6,86.41,93.52
embraer_3086,GCG,2,46.51,55.71,11,78.38,86.87
embraer_3086,GRASP,1,1986.77,75.10,7,90.12,97.24
embraer_3086,GRASP,2,6.01,51.63,10,78.30,92.13
embraer_3086,GRASP_GCG,1,1598.96,76.98,8,90.06,97.24
embraer_3086,GRASP_GCG,2,1.29,49.71,9,73.36,80.40
embraer_3086,Random Key,1,1539.53,77.04,8,91.93,99.62
embraer_3086,Random Key,2,18.77,49.49,9,74.61,97.73
embraer_3089,GCG,1,95.36,77.55,8,93.69,97.99
embraer_3089,GCG,2,22.99,67.78,9,84.95,96.99
embraer_3089,GCG,3,0.02,5.02,1,5.02,5.16
embraer_3089,GRASP,1,985.50,78.36,7,92.90,97.42
embraer_3089,GRASP,2,22.11,71.98,11,88.97,93.66
embraer_3089,GRASP_GCG,1,707.26,79.15,11,94.69,98.42
embraer_3089,GRASP_GCG,2,17.22,71.23,7,83.91,87.42
embraer_3089,Random Key,1,1519.54,80.47,10,97.25,99.57
embraer_3089,Random Key,2,12.30,69.93,8,84.34,92.28
embraer_3274,GCG,1,113.02,69.13,7,82.54,98.10
embraer_3274,GCG,2,26.79,58.25,9,82.69,97.09
embraer_3274,GRASP,1,1962.89,74.10,6,88.12,99.27
embraer_3274,GRASP,2,18.47,53.28,10,75.18,90.95
embraer_3274,GRASP_GCG,1,1228.64,72.07,5,87.41,99.27
embraer_3274,GRASP_GCG,2,1.16,55.33,11,82.60,96.22
embraer_3274,Random Key,1,1341.92,74.26,6,87.37,99.27
embraer_3274,Random Key,2,23.40,52.85,10,76.30,92.79
embraer_2338,GCG,1,190.89,73.81,8,91.92,98.62
embraer_2338,GCG,2,43.41,65.68,10,86.44,95.01
embraer_2338,GCG,3,0.03,4.14,1,4.14,6.07
embraer_2338,GRASP,1,2269.66,76.18,8,95.96,99.49
embraer_2338,GRASP,2,6.60,67.52,11,84.44,98.74
